[review] 詞庫 2308 筆，待審 2308 筆，model=qwen3.6:35b-a3b-coding-nvfp4，batch=12，host=http://127.0.0.1:11434
  12/2308  ok=12 flag=0 fail=0  1.4/s  eta=1603s
  1428/2308  ok=1107 flag=321 fail=0  1.0/s  eta=915s
  1440/2308  ok=1116 flag=324 fail=0  1.0/s  eta=902s
  1452/2308  ok=1124 flag=328 fail=0  1.0/s  eta=890s
  1464/2308  ok=1134 flag=330 fail=0  1.0/s  eta=878s
  1476/2308  ok=1143 flag=333 fail=0  1.0/s  eta=864s
  1488/2308  ok=1153 flag=335 fail=0  1.0/s  eta=851s
  1500/2308  ok=1161 flag=339 fail=0  1.0/s  eta=839s
  1512/2308  ok=1169 flag=343 fail=0  1.0/s  eta=828s
  1524/2308  ok=1180 flag=344 fail=0  1.0/s  eta=815s
  1536/2308  ok=1192 flag=344 fail=0  1.0/s  eta=802s
  1548/2308  ok=1202 flag=346 fail=0  1.0/s  eta=790s
  1560/2308  ok=1212 flag=348 fail=0  1.0/s  eta=778s
  1572/2308  ok=1224 flag=348 fail=0  1.0/s  eta=765s
  1584/2308  ok=1234 flag=350 fail=0  1.0/s  eta=754s
  1596/2308  ok=1242 flag=354 fail=0  1.0/s  eta=742s
  1608/2308  ok=1254 flag=354 fail=0  1.0/s  eta=730s
  1620/2308  ok=1262 flag=358 fail=0  1.0/s  eta=719s
  1632/2308  ok=1272 flag=360 fail=0  1.0/s  eta=706s
  1644/2308  ok=1281 flag=363 fail=0  1.0/s  eta=693s
  1656/2308  ok=1285 flag=371 fail=0  1.0/s  eta=686s
  1668/2308  ok=1297 flag=371 fail=0  0.9/s  eta=686s
  1680/2308  ok=1307 flag=373 fail=0  0.9/s  eta=673s
  1692/2308  ok=1317 flag=375 fail=0  0.9/s  eta=660s
  1704/2308  ok=1328 flag=376 fail=0  0.9/s  eta=648s
  1716/2308  ok=1338 flag=378 fail=0  0.9/s  eta=636s
  1728/2308  ok=1350 flag=378 fail=0  0.9/s  eta=623s
  1740/2308  ok=1358 flag=382 fail=0  0.9/s  eta=610s
  1752/2308  ok=1365 flag=387 fail=0  0.9/s  eta=597s
  1764/2308  ok=1370 flag=394 fail=0  0.9/s  eta=585s
  1776/2308  ok=1379 flag=397 fail=0  0.9/s  eta=573s
  1788/2308  ok=1386 flag=402 fail=0  0.9/s  eta=562s
  1800/2308  ok=1397 flag=403 fail=0  0.9/s  eta=549s
  1812/2308  ok=1407 flag=405 fail=0  0.9/s  eta=536s
  1824/2308  ok=1417 flag=407 fail=0  0.9/s  eta=524s
  1836/2308  ok=1425 flag=411 fail=0  0.9/s  eta=511s
  1848/2308  ok=1433 flag=415 fail=0  0.9/s  eta=498s
  1860/2308  ok=1444 flag=416 fail=0  0.9/s  eta=485s
  1872/2308  ok=1455 flag=417 fail=0  0.9/s  eta=472s
  1884/2308  ok=1465 flag=419 fail=0  0.9/s  eta=458s
  1896/2308  ok=1475 flag=421 fail=0  0.9/s  eta=445s
  1908/2308  ok=1485 flag=423 fail=0  0.9/s  eta=432s
  1920/2308  ok=1496 flag=424 fail=0  0.9/s  eta=418s
  1932/2308  ok=1500 flag=432 fail=0  0.9/s  eta=406s
  1944/2308  ok=1510 flag=434 fail=0  0.9/s  eta=393s
  1956/2308  ok=1518 flag=438 fail=0  0.9/s  eta=380s
  1968/2308  ok=1527 flag=441 fail=0  0.9/s  eta=367s
  1980/2308  ok=1536 flag=444 fail=0  0.9/s  eta=354s
  1992/2308  ok=1544 flag=448 fail=0  0.9/s  eta=341s
  2004/2308  ok=1551 flag=453 fail=0  0.9/s  eta=329s
  2016/2308  ok=1560 flag=456 fail=0  0.9/s  eta=316s
  2028/2308  ok=1569 flag=459 fail=0  0.9/s  eta=303s
  2040/2308  ok=1579 flag=461 fail=0  0.9/s  eta=290s
  2052/2308  ok=1588 flag=464 fail=0  0.9/s  eta=277s
  2064/2308  ok=1599 flag=465 fail=0  0.9/s  eta=264s
  2076/2308  ok=1605 flag=471 fail=0  0.9/s  eta=251s
  2088/2308  ok=1612 flag=476 fail=0  0.9/s  eta=238s
  2100/2308  ok=1621 flag=479 fail=0  0.9/s  eta=225s
  2112/2308  ok=1632 flag=480 fail=0  0.9/s  eta=212s
  2124/2308  ok=1641 flag=483 fail=0  0.9/s  eta=199s
  2136/2308  ok=1650 flag=486 fail=0  0.9/s  eta=187s
  2148/2308  ok=1659 flag=489 fail=0  0.9/s  eta=173s
  2160/2308  ok=1668 flag=492 fail=0  0.9/s  eta=160s
  2172/2308  ok=1679 flag=493 fail=0  0.9/s  eta=147s
  2184/2308  ok=1687 flag=497 fail=0  0.9/s  eta=134s
  2196/2308  ok=1695 flag=501 fail=0  0.9/s  eta=121s
  2208/2308  ok=1705 flag=503 fail=0  0.9/s  eta=108s
  2220/2308  ok=1716 flag=504 fail=0  0.9/s  eta=95s
  2232/2308  ok=1726 flag=506 fail=0  0.9/s  eta=82s
  2244/2308  ok=1733 flag=511 fail=0  0.9/s  eta=70s
  2256/2308  ok=1742 flag=514 fail=0  0.9/s  eta=57s
  2268/2308  ok=1747 flag=521 fail=0  0.9/s  eta=44s
  2280/2308  ok=1755 flag=525 fail=0  0.9/s  eta=31s
  2292/2308  ok=1762 flag=530 fail=0  0.9/s  eta=18s
  2304/2308  ok=1770 flag=534 fail=0  0.9/s  eta=4s
  2308/2308  ok=1772 flag=536 fail=0  0.9/s  eta=0s
[done] 耗時 2544s
[flagged] 536 flagged → /Users/cheyuwu/Projects/taiwan-md/reports/terminology-review/2026-07-10/flagged.md
